Continent,Region,Country,Total Population,Country Labor Force,Country Unemployment %,Unemployment (based on Population) #,Unemployment (based on Labor Force) #,Population # + Participation % Source,Country Unemployment % Source,Latitude ,Longitude
Asia,East Asia,China,"1,400,000,000","831,030,720",5.90%,"82,600,000","49,030,812",,,,
Asia,South Asia,India,"1,400,000,000","517,246,080",8.50%,"119,000,000","43,965,917",,,,
North America,North America,United States,"331,000,000","175,562,400",13.30%,"44,023,000","23,349,799",,,,
Asia,Southeast Asia,Indonesia,"268,000,000","140,768,160",4.99%,"13,373,200","7,024,331",,,,
Asia,South Asia,Pakistan,"213,000,000","76,377,600",4.50%,"9,585,000","3,436,992",,,,
South America,West South America,Brazil,"210,000,000","111,914,400",12.60%,"26,460,000","14,101,214",,,,
Africa,West Africa,Nigeria,"200,000,000","61,950,720",23.10%,"46,200,000","14,310,616",,,,
Asia,Southeast Asia,Bangladesh,"162,000,000","72,983,040",4.20%,"6,804,000","3,065,288",,,,
Europe,Russia,Russia,"145,000,000","78,287,040",6.10%,"8,845,000","4,775,509",,,,
Asia,East Asia,Japan,"127,000,000","72,558,720",2.60%,"3,302,000","1,886,527",,,,
North America,North America,Mexico,"126,000,000","59,723,040",3.30%,"4,158,000","1,970,860",,,,
Africa,East Africa,Ethiopia,"110,000,000","54,525,120",2.10%,"2,310,000","1,145,028",,,,
Asia,Southeast Asia,Philippines,"107,000,000","46,569,120",17.70%,"18,939,000","8,242,734",,,,
Africa,North Africa,Egypt,"100,000,000","32,036,160",7.70%,"7,700,000","2,466,784",,,,
Asia,Southeast Asia,Vietnam,"96,000,000","60,359,520",2.15%,"2,064,000","1,297,730",,,,
Africa,Central Africa,Congo,"85,000,000","30,551,040",36.00%,"30,600,000","10,998,374",,,,
Europe,Western Europe,Germany,"83,500,000","46,250,880",3.50%,"2,922,500","1,618,781",,,,
Asia,Middle East,Iran,"82,000,000","29,490,240",11.40%,"9,348,000","3,361,887",,,,
Europe,Eastern Europe,Turkey,"82,000,000","34,794,240",13.20%,"10,824,000","4,592,840",,,,
Asia,Southeast Asian,Thailand,"70,000,000","41,265,120",1.00%,"700,000","412,651",,,,
Europe,Western Europe,United Kingdom,"67,000,000","36,385,440",4.40%,"2,948,000","1,600,959",,,,
Europe,Western Europe,France,"66,000,000","32,248,320",8.70%,"5,742,000","2,805,604",,,,
Europe,Southern Europe,Italy,"61,000,000","27,580,800",6.30%,"3,843,000","1,737,590",,,,
Africa,Southern Africa,South Africa,"58,000,000","24,292,320",30.10%,"17,458,000","7,311,988",,,,
Africa,East African,Tanzania,"57,000,000","27,899,040",2.00%,"1,140,000","557,981",,,,
Asia,Southeast Asia,Myanmar,"54,000,000","25,989,600",1.60%,"864,000","415,834",,,,
Africa,East Africa,Kenya,"52,000,000","24,504,480",4.90%,"2,548,000","1,200,720",,,,
Asia,East Asia,South Korea,"52,000,000","30,020,640",4.50%,"2,340,000","1,350,929",,,,
South America,North South America,Colombia,"50,000,000","27,792,960",19.80%,"9,900,000","5,503,006",,,,
Europe,Western Europe,Spain,"47,000,000","24,504,480",14.80%,"6,956,000","3,626,663",,,,
South America,East South America,Argentina,"45,000,000","21,852,480",10.40%,"4,680,000","2,272,658",,,,
Africa,North Africa,Algeria,"43,000,000","12,941,760",11.40%,"4,902,000","1,475,361",,,,
Africa,East Africa,Uganda,"43,000,000","16,866,720",1.80%,"774,000","303,601",,,,
Africa,East Africa,Sudan,"42,000,000","12,835,680",16.50%,"6,930,000","2,117,887",,,,
Europe,Eastern Europe,Ukraine,"42,000,000","21,640,320",8.60%,"3,612,000","1,861,068",,,,
Asia,Middle East,Iraq,"38,500,000","10,714,080",12.00%,"4,620,000","1,285,690",,,,
North America,North America,Canada,"38,000,000","21,534,240",13.70%,"5,206,000","2,950,191",,,,
Europe,Central Europe,Poland,"38,000,000","19,518,720",6.00%,"2,280,000","1,171,123",,,,
Asia,Middle-East,Afghanistan,"37,000,000","10,926,240",11.10%,"4,107,000","1,212,813",,,,
Africa,North Africa,Morocco,"36,100,000","12,623,520",10.50%,"3,790,500","1,325,470",,,,
Europe,Eastern Europe,Bosnia and Herzegovina,"34,000,000","1,379,040",32.40%,"11,016,000","446,809",,,,
Asia,Middle East,Saudi Arabia,"34,000,000","14,851,200",5.70%,"1,938,000","846,518",,,,
Asia,Central Asian,Uzbekistan,"33,300,000","16,230,240",9.00%,"2,997,000","1,460,722",,,,
Asia,Southeast Asia,Malaysia,"32,000,000","16,336,320",5.00%,"1,600,000","816,816",,,,
South America,West South America,Peru,"32,000,000","19,412,640",13.10%,"4,192,000","2,543,056",,,,
Africa,West Africa,Angola,"31,000,000","13,472,160",31.80%,"9,858,000","4,284,147",,,,
Africa,West Africa,Ghana,"30,000,000","13,366,080",6.80%,"2,040,000","908,893",,,,
Africa,East Africa,Mozambique,"30,000,000","13,578,240",25.40%,"7,620,000","3,448,873",,,,
South America,North South America,Venezuela,"29,000,000","13,366,080",9.00%,"2,610,000","1,202,947",,,,
Asia,Middle East,Yemen,"29,000,000","6,895,200",13.00%,"3,770,000","896,376",,,,
Asia,South Asia,Nepal,"28,500,000","17,397,120",3.20%,"912,000","556,708",,,,
Africa,East Africa,Madagascar,"27,000,000","14,214,720",1.80%,"486,000","255,865",,,,
Oceania,South Pacific,Australia,"26,000,000","14,108,640",7.10%,"1,846,000","1,001,713",,,,
Africa,Central Africa,Cameroon,"26,000,000","11,668,800",3.30%,"858,000","385,070",,,,
Africa,West Africa,Cote d'Ivoire,"26,000,000","8,804,640",6.70%,"1,742,000","589,911",,,,
Asia,East Asia,North Korea,"26,000,000","17,397,120",3.80%,"988,000","661,091",,,,
Asian,Southeast Asian,Taiwan,"24,000,000","11,479,000",4.16%,"998,400","477,526",,,,
Africa,West Africa,Niger,"23,000,000","8,592,480",1.00%,"230,000","85,925",,,,
Asia,South Asia,Sri Lanka,"22,000,000","9,441,120",4.50%,"990,000","424,850",,,,
Africa,West Africa,Burkina Faso,"20,000,000","7,637,760",6.10%,"1,220,000","465,903",,,,
Europe,Eastern Europe,Romania,"20,000,000","9,653,280",4.80%,"960,000","463,357",,,,
Africa,West Africa,Mali,"19,500,000","7,531,680",9.80%,"1,911,000","738,105",,,,
South America,West South America,Chile,"19,000,000","9,971,520",9.00%,"1,710,000","897,437",,,,
Asia,Central Asian,Kazakhstan,"19,000,000","9,547,200",4.80%,"912,000","458,266",,,,
Africa,East Africa,Malawi,"19,000,000","8,274,240",5.70%,"1,083,000","471,632",,,,
Europe,Central Europe,Netherlands,"18,000,000","9,759,360",3.60%,"648,000","351,337",,,,
Africa,East Africa,Zambia,"18,000,000","7,531,680",13.20%,"2,376,000","994,182",,,,
South America,West South America,Ecuador,"17,500,000","8,910,720",4.90%,"857,500","436,625",,,,
North America,Central America,Guatemala,"17,500,000","7,425,600",2.50%,"437,500","185,640",,,,
Africa,Southeast Asia,Cambodia,"17,000,000","9,759,360",1.00%,"170,000","97,594",,,,
Asia,Middle East,Syria,"17,000,000","5,410,080",8.40%,"1,428,000","454,447",,,,
Africa,Central Africa,Chad,"16,000,000","6,152,640",2.30%,"368,000","141,511",,,,
Africa,West Africa,Senegal,"16,000,000","4,349,280",19.00%,"3,040,000","826,363",,,,
Africa,East Africa,Somalia,"15,100,000","4,031,040",13.96%,"2,107,960","562,733",,,,
Africa,Southern Africa,Zimbabwe,"15,000,000","7,319,520",5.00%,"750,000","365,976",,,,
Africa,West Africa,Guinea,"12,500,000","4,561,440",4.60%,"575,000","209,826",,,,
Africa,East Africa,Rwanda,"12,500,000","6,576,960",13.10%,"1,637,500","861,582",,,,
Europe,Western Europe,Belgium,"12,000,000","5,410,080",5.60%,"672,000","302,964",,,,
Africa,West Africa,Benin,"12,000,000","4,985,760",2.20%,"264,000","109,687",,,,
South America,East South America,Bolivia,"12,000,000","5,940,480",3.60%,"432,000","213,857",,,,
Africa,East Africa,Burundi,"12,000,000","5,091,840",1.50%,"180,000","76,378",,,,
Africa,North Africa,Tunisia,"12,000,000","4,349,280",15.10%,"1,812,000","656,741",,,,
North America,Caribbean,Cuba,"11,500,000","5,410,080",1.70%,"195,500","91,971",,,,
North America,Caribbean,Haiti,"11,200,000","5,304,000",13.80%,"1,545,600","731,952",,,,
Europe,Central Europe,Czech Republic,"11,000,000","5,834,400",3.60%,"396,000","210,038",,,,
North America,Caribbean,Dominican Republic,"11,000,000","5,197,920",5.90%,"649,000","306,677",,,,
Europe,Eastern Europe,Greece,"11,000,000","5,091,840",14.40%,"1,584,000","733,225",,,,
Africa,North Africa,South Sudan,"11,000,000","4,879,680",12.20%,"1,342,000","595,321",,,,
Europe,Western Europe,Portugal,"10,500,000","5,622,240",6.70%,"703,500","376,690",,,,
Europe,Northern Europe,Sweden,"10,300,000","5,728,320",8.50%,"875,500","486,907",,,,
Europe,Eastern Europe,Azerbaijan,"10,000,000","5,410,080",5.50%,"550,000","297,554",,,,
Europe,Eastern Europe,Belarus,"10,000,000","5,410,080",4.60%,"460,000","248,864",,,,
Asia,Middle East,Jordan,"10,000,000","2,758,080",19.30%,"1,930,000","532,309",,,,
Asia,Middle east,United Arab Emirates,"10,000,000","7,213,440",2.64%,"264,000","190,435",,,,
Europe,Central Europe,Hungary,"9,800,000","4,985,760",3.80%,"372,400","189,459",,,,
North America,Central America,Honduras,"9,700,000","4,773,600",5.70%,"552,900","272,095",,,,
Asia,Central Asia,Tajikistan,"9,200,000","2,545,920",11.00%,"1,012,000","280,051",,,,
Europe,Central Europe,Austria,"9,000,000","4,879,680",11.50%,"1,035,000","561,163",,,,
Asia,Middel East,Israel,"9,000,000","4,349,280",4.20%,"378,000","182,670",,,,
Oceania,South Pacific,Papua New Guinea,"8,700,000","2,758,080",2.50%,"217,500","68,952",,,,
Europe,Central Europe,Switzerland,"8,600,000","5,304,000",4.40%,"378,400","233,376",,,,
Africa,West Africa,Togo,"8,000,000","3,818,880",2.00%,"160,000","76,378",,,,
Africa,West Africa,Sierra Leone,"7,700,000","2,758,080",4.40%,"338,800","121,356",,,,
Asia,East Asia,Hong Kong,"7,500,000","4,243,200",5.90%,"442,500","250,349",,,,
Asia,Southeast Asian,Laos,"7,100,000","3,924,960",1.00%,"71,000","39,250",,,,
Europe,Eastern Europe,Bulgaria,"7,000,000","3,500,640",9.00%,"630,000","315,058",,,,
Asia,Middle East,Lebanon,"7,000,000","2,545,920",6.20%,"434,000","157,847",,,,
South America,South America,Paraguay,"7,000,000","3,712,800",5.70%,"399,000","211,630",,,,
Europe,Eastern Europe,Serbia,"7,000,000","3,394,560",9.70%,"679,000","329,272",,,,
Africa,North Africa,Libya,"6,800,000","2,545,920",18.60%,"1,264,800","473,541",,,,
North America,Central America,Nicaragua,"6,600,000","3,182,400",5.20%,"343,200","165,485",,,,
North America,Central America,El Salvador,"6,500,000","2,970,240",4.10%,"266,500","121,780",,,,
Asia,Central Asian,Kyrgyzstan	,"6,400,000","2,758,080",3.10%,"198,400","85,500",,,,
Europe,Northern Europe,Denmark,"6,000,000","3,182,400",5.40%,"324,000","171,850",,,,
Asia,Central Asia,Turkmenistan,"6,000,000","2,758,080",3.90%,"234,000","107,565",,,,
Asia,Southeast Asia,Singapore,"5,700,000","3,712,800",2.40%,"136,800","89,107",,,,
Europe,Northern Europe,Finland,"5,600,000","2,864,160",10.60%,"593,600","303,601",,,,
Africa,Central Africa,Republic of the Congo,"5,500,000","2,227,680",10.30%,"566,500","229,451",,,,
Europe,Central Europe,Slovakia,"5,500,000","2,970,240",7.20%,"396,000","213,857",,,,
Europe,Northern Europe,Norway,"5,400,000","2,970,240",8.80%,"475,200","261,381",,,,
North America,Central America,Costa Rica,"5,100,000","2,545,920",12.40%,"632,400","315,694",,,,
Asia,Middle East,Palestine,"5,100,000","1,272,960",25.30%,"1,290,300","322,059",,,,
Europe,Western Europe,Ireland,"5,000,000","2,545,920",5.60%,"280,000","142,572",,,,
Africa,West Africa,Liberia,"4,900,000","2,333,760",2.80%,"137,200","65,345",,,,
Ocenia,South Pacific,New Zealand,"4,900,000","2,864,160",4.20%,"205,800","120,295",,,,
Asia,Middle East,Oman,"4,900,000","2,864,160",3.10%,"151,900","88,789",,,,
Africa,Central Africa,Central African Republic,"4,700,000","2,015,520",3.70%,"173,900","74,574",,,,
Africa,North Africa,Mauritania,"4,500,000","1,272,960",10.32%,"464,400","131,369",,,,
Asia,Middle East,Kuwait,"4,200,000","2,545,920",2.17%,"91,140","55,246",,,,
North Ameria,Central America,Panama,"4,200,000","2,121,600",7.10%,"298,200","150,634",,,,
Europe,Eastern Europe,Georgia,"3,800,000","2,121,600",12.70%,"482,600","269,443",,,,
Europe,Eastern Europe,Moldova,"3,600,000","1,060,800",4.10%,"147,600","43,493",,,,
South America,West South America,Uruguay,"3,500,000","1,803,360",10.10%,"353,500","182,139",,,,
Africa,East Africa,Eritrea,"3,300,000","3,134,664",6.50%,"214,500","203,753",,,,
