Afghanistan,Kabul,34.5167,69.1833
Albania,Tirana,41.3275,19.8189
Algeria,Algiers,36.7631,3.0506
American Samoa,Pago Pago,-14.274,-170.705
Andorra,Andorra la Vella,42.5,1.5165
Angola,Luanda,-8.8383,13.2344
Antigua And Barbuda,Saint John's,17.118,-61.85
Argentina,Buenos Aires,-34.6025,-58.3975
Armenia,Yerevan,40.1812,44.5136
Aruba,Oranjestad,12.5304,-70.029
Australia,Sydney,-33.92,151.1852
Austria,Vienna,48.2,16.3666
Azerbaijan,Baku,40.3953,49.8622
Bahrain,Manama,26.2361,50.5831
Bangladesh,Dhaka,23.7231,90.4086
Barbados,Bridgetown,13.102,-59.6165
Belarus,Minsk,53.9,27.5666
Belgium,Brussels,50.8333,4.3333
Belize,Belmopan,17.252,-88.7671
Benin,Cotonou,6.4,2.52
Bermuda,Hamilton,32.2942,-64.7839
Bhutan,Thimphu,27.473,89.639
Bolivia,Santa Cruz,-17.7539,-63.226
Bosnia And Herzegovina,Sarajevo,43.85,18.383
Botswana,Gaborone,-24.6463,25.9119
Brazil,Sao Paulo,-23.5587,-46.625
Brunei,Bandar Seri Begawan,4.8833,114.9333
Bulgaria,Sofia,42.6833,23.3167
Burkina Faso,Ouagadougou,12.3703,-1.5247
Burma,Rangoon,16.7834,96.1667
Burundi,Bujumbura,-3.3761,29.36
Cabo Verde,Praia,14.9167,-23.5167
Cambodia,Phnom Penh,11.55,104.9166
Cameroon,Douala,4.0604,9.71
Canada,Toronto,43.7,-79.42
Cayman Islands,George Town,19.2804,-81.33
Central African Republic,Bangui,4.3666,18.5583
Chad,N'Djamena,12.1131,15.0491
Chile,Santiago,-33.45,-70.667
China,Beijing,39.9289,116.3883
Colombia,Bogota,4.5964,-74.0833
Comoros,Moroni,-11.7042,43.2402
Congo (Brazzaville),Brazzaville,-4.2592,15.2847
Cook Islands,Avarua,-21.25,-159.75
Costa Rica,San Jose,9.935,-84.0841
Croatia,Zagreb,45.8,16
Cuba,Havana,23.132,-82.3642
CuraĂƒÂ§ao,Willemstad,12.2004,-69.02
Cyprus,Nicosia,35.1667,33.3666
Czechia,Prague,50.0833,14.466
Denmark,Copenhagen,55.6786,12.5635
Djibouti,Djibouti,11.595,43.148
Dominica,Roseau,15.301,-61.387
Dominican Republic,Santo Domingo,18.4701,-69.9001
Ecuador,Guayaquil,-2.22,-79.92
Egypt,Cairo,30.05,31.25
El Salvador,San Salvador,13.71,-89.203
Equatorial Guinea,Malabo,3.75,8.7833
Eritrea,Asmara,15.3333,38.9333
Estonia,Tallinn,59.4339,24.728
Ethiopia,Addis Ababa,9.0333,38.7
Falkland Islands (Islas Malvinas),Stanley,-51.7,-57.85
Faroe Islands,Klaksvik,62.2375,-6.539
Fiji,Suva,-18133,178.4417
Finland,Helsinki,60.1756,24.9341
France,Paris,48.8667,2.3333
French Guiana,Cayenne,4933,-52.33
French Polynesia,Papeete,-17.5334,-149.567
Gabon,Libreville,0.3854,9458
Georgia,Tbilisi,41.725,44.7908
Germany,Berlin,52.5218,13.4015
Ghana,Accra,5.55,-0.2167
Gibraltar,Gibraltar,36.1324,-5.3781
Greece,Athens,37.9833,23.7333
Greenland,Sisimiut,66.95,-53.6666
Grenada,Saint George's,12.0526,-61.7416
Guadeloupe,Pointe-a-Pitre,16.2415,-61.533
Guam,Hagta,13.4745,144.7504
Guatemala,Guatemala City,14.6211,-90.527
Guinea,Conakry,9.5315,-13.6802
Guinea-Bissau,Bissau,11865,-15.5984
Guyana,Georgetown,6.802,-58.167
Haiti,Port-au-Prince,18.541,-72.336
Honduras,Tegucigalpa,14.102,-87.2175
Hong Kong,Hong Kong,22.305,114.185
Hungary,Budapest,47.5,19.0833
Iceland,Reykjavik,64.15,-21.95
India,Delhi,28.67,77.23
Indonesia,Jakarta,-6.1744,106.8294
Iran,Tehran,35.6719,51.4243
Iraq,Baghdad,33.3386,44.3939
Ireland,Dublin,53.3331,-6.2489
Isle Of Man,Douglas,54.1504,-4.48
Israel,Tel Aviv-Yafo,32.08,34.77
